$693.44;$799.82;57.55;$127.14;$290.00;$1,967.95;$262.70
$684.99;$808.27;57.07;$127.14;$290.00;;$262.70
$677.92;$815.34;56.59;$127.14;$290.00;;$262.70
$670.78;$822.48;56.11;$127.14;$290.00;;$262.70
$663.58;$829.68;55.63;$127.14;$290.00;;$262.70
$656.32;$836.94;55.15;$127.14;$290.00;;$262.70
$649.00;$844.26;54.67;$127.14;$290.00;;$262.70
$641.61;$851.65;54.19;$127.14;$290.00;;$262.70
$634.15;$859.11;53.71;$127.14;$290.00;;$262.70

$626.64;$866.62;53.23;$127.14;$290.00;;$262.70
$619.05;$874.21;52.75;$127.14;$290.00;;$262.70
$611.40;$881.86;52.27;$127.14;$290.00;;$262.70
$603.68;$889.58;51.79;$127.14;$290.00;;$262.70
$595.90;$897.36;51.31;$127.14;$290.00;;$262.70
$588.04;$905.22;50.83;$127.14;$290.00;;$262.70
$580.12;$913.14;50.35;$127.14;$290.00;;$262.70
$572.13;$921.13;49.87;$127.14;$290.00;;$262.70
$564.07;$929.19;49.39;$127.14;$290.00;;$262.70
$555.94;$937.32;48.91;$127.14;$290.00;;$262.70
$547.73;$945.53;48.43;$127.14;$290.00;;$262.70
$539.46;$953.80;47.95;$127.14;$290.00;;$262.70

$531.11;$962.15;47.47;$127.14;$290.00;;$262.70
$522.69;$970.57;46.99;$127.14;$290.00;;$262.70
$514.20;$979.06;46.51;$127.14;$290.00;;$262.70
$505.63;$987.63;46.03;$127.14;$290.00;;$262.70
$496.98;$996.28;45.55;$127.14;$290.00;;$262.70
$488.27;$1,004.99;45.07;$127.14;$290.00;;$262.70
$479.47;$1,013.79;44.59;$127.14;$290.00;;$262.70
$470.60;$1,022.66;44.11;$127.14;$290.00;;$262.70
$461.65;$1,031.61;43.63;$127.14;$290.00;;$262.70
$452.62;$1,040.64;43.15;$127.14;$290.00;;$262.70
$443.51;$1,049.75;42.67;$127.14;$290.00;;$262.70
$434.32;$1,058.94;42.19;$127.14;$290.00;;$262.70

$425.06;$1,068.20;41.71;$127.14;$290.00;;$262.70
$415.71;$1,077.55;41.23;$127.14;$290.00;;$262.70
$406.28;$1,086.98;40.75;$127.14;$290.00;;$262.70
$396.76;$1,096.50;40.27;$127.14;$290.00;;$262.70
$387.17;$1,106.09;39.79;$127.14;$290.00;;$262.70
$377.49;$1,115.77;39.31;$127.14;$290.00;;$262.70
$367.72;$1,125.54;38.83;$127.14;$290.00;;$262.70
$357.87;$1,135.39;38.35;$127.14;$290.00;;$262.70
$347.94;$1,145.32;37.87;$127.14;$290.00;;$262.70
$337.91;$1,155.35;37.39;$127.14;$290.00;;$262.70
$327.80;$1,165.46;36.91;$127.14;$290.00;;$262.70
$317.60;$1,175.66;36.43;$127.14;$290.00;;$262.70

$307.31;$1,185.95;35.95;$127.14;$290.00;;$262.70
$296.93;$1,196.33;35.47;$127.14;$290.00;;$262.70
$286.46;$1,206.80;34.99;$127.14;$290.00;;$262.70
$275.90;$1,217.36;$34.51;$127.14;$290.00;;$262.70
$265.25;$1,228.01;$34.03;$127.14;$290.00;;$262.70
$254.50;$1,238.76;$33.55;$127.14;$290.00;;$262.70
$243.66;$1,249.60;$33.07;$127.14;$290.00;;$262.70
$232.72;$1,260.54;$32.59;$127.14;$290.00;;$262.70
$221.69;$1,271.57;$32.11;$127.14;$290.00;;$262.70
$210.56;$1,282.70;$31.63;$127.14;$290.00;;$262.70
$199.34;$1,293.92;$31.15;$127.14;$290.00;;$262.70
$188.01;$1,305.25;$30.67;$127.14;$290.00;;$262.70

$176.59;$1,316.67;$30.19;$127.14;$290.00;;$262.70
$165.06;$1,328.20;$29.71;$127.14;$290.00;;$262.70
$153.44;$1,339.82;$29.23;$127.14;$290.00;;$262.70
$141.72;$1,351.54;$28.75;$127.14;$290.00;;$262.70
$129.89;$1,363.37;$28.27;$127.14;$290.00;;$262.70
$117.95;$1,375.31;$27.79;$127.14;$290.00;;$262.70
$105.92;$1,387.34;$27.31;$127.14;$290.00;;$262.70
$93.78;$1,399.48;$26.83;$127.14;$290.00;;$262.70
$81.53;$1,411.73;$26.35;$127.14;$290.00;;$262.70
$69.17;$1,424.09;$25.87;$127.14;$290.00;;$262.70
$56.71;$1,436.55;$25.39;$127.14;$290.00;;$262.70
$44.14;$1,449.12;$24.91;$127.14;$290.00;;$262.70

$31.46;$1,461.80;$24.43;$127.14;$290.00;;$262.70
$18.66;$1,474.60;$23.95;$127.14;$290.00;;$262.70
$5.76;$657.79;$23.47;$127.14;$290.00;;$262.70
